# x	y	u	v	flags	mask
2.2793e-01	1.0961e+01	-4.8661e-01	1.7713e-03	1.0000e+00	0.0000e+00
3.7298e-01	1.0961e+01	-4.0789e-01	-1.9896e-02	0.0000e+00	0.0000e+00
5.1803e-01	1.0961e+01	-4.6280e-01	2.7563e-02	0.0000e+00	0.0000e+00
6.6308e-01	1.0961e+01	-5.3087e-01	4.8901e-02	0.0000e+00	0.0000e+00
8.0812e-01	1.0961e+01	-7.1680e-01	1.8574e-01	1.0000e+00	0.0000e+00
9.5317e-01	1.0961e+01	-8.1904e-01	2.5986e-01	1.0000e+00	0.0000e+00
1.0982e+00	1.0961e+01	-8.9714e-01	2.8585e-01	1.0000e+00	0.0000e+00
1.2433e+00	1.0961e+01	-9.3864e-01	3.0087e-01	1.0000e+00	0.0000e+00
1.3883e+00	1.0961e+01	-1.4032e+00	9.5825e-02	0.0000e+00	0.0000e+00
1.5334e+00	1.0961e+01	-1.6624e+00	3.7899e-01	0.0000e+00	0.0000e+00
1.6784e+00	1.0961e+01	-1.6475e+00	3.3944e-01	0.0000e+00	0.0000e+00
1.8235e+00	1.0961e+01	-1.0408e+00	8.0037e-02	1.0000e+00	0.0000e+00
1.9685e+00	1.0961e+01	-9.5778e-01	1.4766e-02	1.0000e+00	0.0000e+00
2.1136e+00	1.0961e+01	-5.5578e-01	7.1227e-02	0.0000e+00	0.0000e+00
2.2586e+00	1.0961e+01	-5.2044e-01	1.1495e-01	0.0000e+00	0.0000e+00
2.4036e+00	1.0961e+01	-6.6151e-01	1.9751e-01	0.0000e+00	0.0000e+00
2.5487e+00	1.0961e+01	-5.3762e-01	8.2058e-02	0.0000e+00	0.0000e+00
2.6937e+00	1.0961e+01	-5.3130e-01	5.5126e-02	0.0000e+00	0.0000e+00
2.8388e+00	1.0961e+01	-5.0593e-01	1.0713e-02	0.0000e+00	0.0000e+00
2.9838e+00	1.0961e+01	-6.0872e-01	-4.8431e-02	1.0000e+00	0.0000e+00
3.1289e+00	1.0961e+01	-5.1548e-01	2.3005e-02	0.0000e+00	0.0000e+00
3.2739e+00	1.0961e+01	-6.0620e-01	6.1220e-02	0.0000e+00	0.0000e+00
3.4190e+00	1.0961e+01	-5.9646e-01	1.8686e-01	0.0000e+00	0.0000e+00
3.5640e+00	1.0961e+01	-5.6255e-01	1.2133e-01	0.0000e+00	0.0000e+00
3.7091e+00	1.0961e+01	-5.8333e-01	9.3751e-02	0.0000e+00	0.0000e+00
3.8541e+00	1.0961e+01	-5.4740e-01	2.5918e-02	0.0000e+00	0.0000e+00
3.9992e+00	1.0961e+01	-6.0561e-01	3.3357e-02	0.0000e+00	0.0000e+00
4.1442e+00	1.0961e+01	-5.9081e-01	4.0205e-02	0.0000e+00	0.0000e+00
4.2893e+00	1.0961e+01	-4.1355e-01	5.7209e-02	0.0000e+00	0.0000e+00
4.4343e+00	1.0961e+01	-3.8804e-01	-3.3706e-02	0.0000e+00	0.0000e+00
4.5794e+00	1.0961e+01	-4.9626e-01	-5.3494e-02	0.0000e+00	0.0000e+00
4.7244e+00	1.0961e+01	-8.7365e-01	-2.7582e-01	1.0000e+00	0.0000e+00
